Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,54,15,1213,7.4,14.9,0.496,0.9,3.3,0.259,6.6,11.6,0.563,2.2,3.5,0.616,5.9,8.4,14.4,2.9,1.4,1.9,2.4,4.2,17.8,,114,114,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,437,8.6,18.8,0.459,1.4,5.2,0.277,7.2,13.6,0.528,2.7,4.6,0.571,5.5,9.5,15,4.9,1.8,1.3,3.2,4.4,21.3,,107,115,achiupr01
1,Precious Achiuwa,PF,24,NYK,29,15,776,6.7,12.7,0.528,0.5,2.2,0.235,6.2,10.5,0.589,1.9,2.8,0.659,6.2,7.8,14,1.8,1.2,2.2,2,4.1,15.8,,121,113,achiupr01
2,Bam Adebayo,C,26,MIA,50,50,1731,11.1,21.6,0.517,0,0.3,0.083,11.1,21.2,0.524,6.9,8.9,0.777,3.2,11.7,14.9,5.8,1.5,1.4,3.6,3.6,29.2,,114,110,adebaba01
3,Ochai Agbaji,SG,23,TOT,60,11,1147,5.4,12.8,0.418,2.3,7.1,0.32,3.1,5.7,0.54,0.9,1.2,0.75,1.8,4.3,6.2,2.3,1.3,1.4,1.8,3.3,13.9,,105,121,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,10,1003,5.1,11.9,0.426,2.2,6.8,0.331,2.8,5.1,0.551,0.7,1,0.75,1.7,4.4,6,2.2,1.3,1.4,1.6,3.2,13.1,,107,121,agbajoc01
3,Ochai Agbaji,SG,23,TOR,9,1,144,7.4,19.1,0.386,2.3,9.1,0.259,5,10.1,0.5,2,2.7,0.75,3,4,7,2.7,1,1.3,2.7,4.4,19.1,,96,120,agbajoc01
4,Santi Aldama,PF,23,MEM,49,23,1236,7.6,17.9,0.427,3.2,9.4,0.345,4.4,8.5,0.519,1.5,2.6,0.6,2.3,8.6,10.9,4.1,1.3,1.4,2.3,2.9,20.1,,105,114,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,61,16,1403,5.5,13,0.423,3.1,8.3,0.373,2.4,4.7,0.511,1.2,1.5,0.767,0.8,3.4,4.2,5.5,1.7,1.2,2,3.9,15.3,,112,111,alexani01
6,Grayson Allen,SG,28,PHO,55,55,1830,6.1,12.4,0.491,3.7,7.9,0.463,2.4,4.5,0.541,2.5,2.8,0.888,0.9,4.7,5.7,4.5,1.2,1,1.9,3.2,18.4,,129,118,allengr01
7,Jarrett Allen,C,25,CLE,55,55,1717,10.2,16.1,0.633,0,0.1,0,10.2,15.9,0.639,4.5,6.1,0.729,5.2,11.2,16.4,4.3,1.2,1.8,2.7,3.4,24.8,,130,109,allenja01
8,Jose Alvarado,PG,25,NOP,40,0,679,7.3,17.5,0.418,3.6,10.1,0.355,3.7,7.4,0.505,1.9,2.9,0.675,1.1,5.2,6.3,5.6,3.2,1,2.2,4.2,20.1,,111,111,alvarjo01
9,Kyle Anderson,PF,30,MIN,59,4,1291,5.4,11.5,0.472,0.3,1.3,0.2,5.2,10.2,0.508,2.8,4,0.712,1.7,6.2,7.9,9.1,1.8,1.2,2.8,3.4,13.9,,114,109,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,59,59,2060,15.7,25.4,0.619,0.7,2.4,0.301,15,23,0.652,9.9,15,0.661,3.5,11.9,15.4,8.6,1.7,1.4,4.6,4,42,,127,112,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,26,0,123,4.6,9.3,0.5,0,0.4,0,4.6,8.9,0.522,0,0.8,0,2.3,1.5,3.9,5,1.2,1.5,4.3,8.1,9.3,,89,118,antetth01
12,Cole Anthony,PG,23,ORL,60,0,1375,8.8,20.3,0.432,2.3,6.9,0.326,6.5,13.4,0.487,5.4,6.6,0.831,1.8,6.8,8.6,6.7,1.8,0.9,3.6,5.3,25.2,,110,112,anthoco01
13,OG Anunoby,SF,26,TOT,41,41,1400,8.3,16.7,0.498,3,7.9,0.379,5.3,8.8,0.606,2.3,2.9,0.774,1.4,4.6,6,3.2,1.9,1,2.2,3.4,21.9,,116,117,anunoog01
13,OG Anunoby,SF,26,TOR,27,27,900,8.4,17.2,0.489,3.3,8.8,0.374,5.2,8.5,0.608,1.8,2.5,0.717,1.3,4.4,5.7,3.9,1.5,0.7,2.3,3.3,21.9,,113,119,anunoog01
13,OG Anunoby,SF,26,NYK,14,14,500,8.1,15.7,0.516,2.5,6.4,0.391,5.6,9.3,0.602,3.2,3.8,0.842,1.5,5,6.5,2.1,2.5,1.5,1.9,3.4,21.9,,123,112,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,0,45,0,6.7,0,0,6.7,0,0,0,,0,0,,0,8.9,8.9,4.4,2.2,0,2.2,5.6,0,,32,113,arcidry01
15,Deni Avdija,SF,23,WAS,57,57,1618,8.2,16.1,0.51,2,4.7,0.412,6.3,11.4,0.551,3.9,5.3,0.745,1.7,9.2,10.9,6.2,1.3,0.7,3.3,4.1,22.3,,114,119,avdijde01
16,Deandre Ayton,C,25,POR,40,40,1263,10.3,18.1,0.57,0,0,,10.3,18.1,0.57,1.6,2,0.824,4.7,11.8,16.5,2.7,1.6,1.2,2.7,3.5,22.3,,115,113,aytonde01
17,Udoka Azubuike,C,24,PHO,14,0,107,7.3,10,0.727,0,0,,7.3,10,0.727,1.4,5,0.273,5,9.5,14.5,1.4,0.5,2.7,1.8,7.7,15.9,,124,114,azubuud01
18,Ibou Badji,C,21,POR,18,1,203,2.9,4.6,0.632,0,0,,2.9,4.6,0.632,1.2,2.4,0.5,4.6,7,11.6,3.1,0.5,4.8,3.4,10.2,7,,104,114,badjiib01
19,Marvin Bagley III,C,24,TOT,43,21,909,10.6,18.3,0.581,0.3,0.9,0.294,10.4,17.5,0.595,4.5,6.1,0.744,6.1,7.6,13.7,2.6,0.8,1.5,2.6,4,26.1,,122,120,baglema01
19,Marvin Bagley III,C,24,DET,26,10,478,10.7,18.1,0.591,0.1,0.6,0.167,10.6,17.5,0.606,5,6.1,0.82,4.6,7.2,11.8,2.7,0.5,1.4,2.9,4,26.6,,122,121,baglema01
19,Marvin Bagley III,C,24,WAS,17,11,431,10.6,18.5,0.57,0.4,1.2,0.364,10.1,17.4,0.584,4,6,0.661,7.7,8,15.6,2.5,1.2,1.5,2.4,4,25.6,,122,120,baglema01
20,Amari Bailey,PG,19,CHO,3,0,15,6.5,22.9,0.286,0,9.8,0,6.5,13.1,0.5,3.3,6.5,0.5,6.5,0,6.5,3.3,0,0,3.3,0,16.3,,78,128,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,20,0,152,5.5,14.4,0.383,3.4,8.3,0.407,2.1,6.1,0.35,2.4,3.7,0.667,2.1,11,13.1,2.4,0.6,1.2,1.8,6.7,16.8,,104,119,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,22,711,12.6,29.2,0.433,4.8,13.6,0.355,7.8,15.6,0.5,6.2,7.2,0.865,2,5.8,7.8,12.1,2.8,0.3,5.7,5.4,36.3,,110,118,ballla01
23,Mo Bamba,C,25,PHI,38,2,422,6.8,14.4,0.472,1.6,3.8,0.424,5.2,10.6,0.489,2.4,3.8,0.636,6.2,10.6,16.9,3.1,1.5,4.3,3.1,6.7,17.7,,112,109,bambamo01
24,Paolo Banchero,PF,21,ORL,59,59,2053,11.5,25,0.461,2.1,5.9,0.36,9.4,19,0.492,7.2,10.2,0.705,1.6,8.1,9.7,7.4,1.4,0.7,4.3,2.8,32.4,,110,112,banchpa01
25,Desmond Bane,SG,25,MEM,37,37,1277,12.6,26.6,0.474,4.7,12.2,0.384,7.9,14.4,0.551,4.6,5.3,0.864,1.3,5.2,6.5,7.5,1.5,0.8,3.8,4,34.5,,114,116,banede01
26,Dalano Banton,PG,24,TOT,32,1,306,7.9,18.8,0.419,1.4,5.9,0.243,6.4,12.8,0.5,5,6.9,0.721,3.4,6.6,9.9,5.1,1.6,1,3.4,5,22.1,,106,114,bantoda01
26,Dalano Banton,PG,24,BOS,24,1,171,5.4,14.6,0.373,0.6,4.6,0.125,4.9,10,0.486,4.6,5.7,0.8,3.4,6.6,10,5.4,1.4,0.9,2.9,5.7,16,,106,112,bantoda01
26,Dalano Banton,PG,24,POR,8,0,135,10.9,24,0.455,2.5,7.6,0.333,8.4,16.4,0.511,5.5,8.4,0.652,3.3,6.6,9.8,4.7,1.8,1.1,4,4,29.9,,106,116,bantoda01
27,Dominick Barlow,PF,20,SAS,24,1,307,6.2,12.9,0.476,0.5,1.1,0.429,5.7,11.9,0.481,3.4,5.2,0.647,5.1,7.9,12.9,4,1.4,1.8,0.8,5.1,16.2,,124,117,barlodo01
28,Harrison Barnes,PF,31,SAC,59,59,1745,6.9,14.2,0.484,3.1,7.8,0.401,3.8,6.4,0.586,3,3.7,0.805,1.3,3.5,4.8,1.8,1.2,0.2,1.1,2.1,19.8,,124,120,barneha02
29,Scottie Barnes,SG,22,TOR,60,60,2094,10.3,21.7,0.475,2.3,6.8,0.341,8,14.9,0.536,4.5,5.8,0.781,3.3,8.1,11.4,8.4,1.7,2,3.8,2.7,27.5,,115,115,barnesc01
30,RJ Barrett,SG,23,TOT,50,50,1568,11.2,23.1,0.486,2.6,7,0.366,8.7,16.1,0.539,5.4,7.6,0.714,1.3,6.9,8.3,4.9,0.8,0.5,3.1,3.3,30.5,,113,118,barrerj01
30,RJ Barrett,SG,23,NYK,26,26,766,10.7,25.3,0.423,2.8,8.5,0.331,7.9,16.8,0.469,6.7,8.1,0.831,1.2,6,7.2,4.1,0.8,0.6,3.1,2.9,30.9,,110,117,barrerj01
30,RJ Barrett,SG,23,TOR,24,24,802,11.8,21.1,0.557,2.4,5.7,0.415,9.4,15.4,0.609,4.2,7.1,0.59,1.4,7.8,9.2,5.7,0.9,0.5,3.1,3.7,30,,116,119,barrerj01
31,Charles Bassey,C,23,SAS,19,0,205,6.7,9.2,0.725,0,0.2,0,6.7,9,0.744,1.2,1.4,0.833,5.3,12.2,17.5,4.8,1.8,3.9,3.5,7.1,14.5,,126,111,bassech01
32,Emoni Bates,SF,20,CLE,10,0,76,3.9,16.2,0.24,3.2,12.9,0.25,0.6,3.2,0.2,0.6,1.3,0.5,0.6,5.8,6.5,3.9,0.6,1.3,0.6,3.2,11.6,,86,114,batesem01
33,Keita Bates-Diop,SF,28,TOT,46,8,638,5.3,12.2,0.438,1.6,5.2,0.309,3.7,7,0.533,2.3,3,0.75,2.3,5.6,7.9,2.7,1.8,1.7,1.1,2.6,14.5,,116,115,bateske01
33,Keita Bates-Diop,SF,28,PHO,39,8,597,5.2,12.2,0.427,1.6,5.2,0.313,3.6,7,0.512,2.1,2.9,0.722,2.4,5.8,8.2,2.8,1.8,1.6,1.1,2.7,14.1,,116,115,bateske01
33,Keita Bates-Diop,SF,28,BRK,7,0,41,7.2,12,0.6,1.2,4.8,0.25,6,7.2,0.833,4.8,4.8,1,0,3.6,3.6,2.4,1.2,2.4,2.4,1.2,20.4,,126,117,bateske01
34,Nicolas Batum,PF,35,TOT,40,29,960,4,8.1,0.491,2.5,5.9,0.431,1.4,2.2,0.651,0.6,0.8,0.688,2.4,5.4,7.8,4.3,1.4,1.4,1.2,4,11,,135,116,batumni01
34,Nicolas Batum,PF,35,LAC,3,0,54,2.7,7.3,0.375,1.8,6.4,0.286,0.9,0.9,1,0,0,,0,6.4,6.4,4.5,2.7,3.6,0.9,4.5,7.3,,113,110,batumni01
34,Nicolas Batum,PF,35,PHI,37,29,906,4,8.1,0.497,2.6,5.9,0.44,1.5,2.3,0.643,0.6,0.9,0.688,2.5,5.3,7.9,4.3,1.3,1.3,1.2,4,11.2,,136,117,batumni01
35,Darius Bazley,PF,23,PHI,3,0,10,0,4.9,0,0,0,,0,4.9,0,0,0,,0,4.9,4.9,9.8,0,0,4.9,0,0,,51,122,bazleda01
36,Bradley Beal,SG,30,PHO,32,32,1033,10.7,21.2,0.502,2.5,6.6,0.376,8.2,14.6,0.559,3.6,4.7,0.778,1.3,5,6.3,6.7,1.3,0.4,3.9,3.8,27.4,,113,118,bealbr01
37,Malik Beasley,SG,27,MIL,59,59,1741,6.7,14.2,0.469,4.8,10.6,0.447,1.9,3.6,0.534,0.5,0.7,0.63,1,5.3,6.2,2.3,1.3,0.2,1.1,3.3,18.6,,123,118,beaslma01
38,MarJon Beauchamp,SF,23,MIL,44,1,585,6,12.4,0.487,2.3,5.7,0.4,3.7,6.7,0.561,1.5,2.3,0.679,1.8,6,7.8,2.4,1,0.5,2.2,4.2,15.9,,111,118,beaucma01
39,Jules Bernard,SG,24,WAS,8,0,36,5.2,16.8,0.308,2.6,11.6,0.222,2.6,5.2,0.5,1.3,2.6,0.5,3.9,3.9,7.7,6.5,1.3,1.3,2.6,5.2,14.2,,94,122,bernaju01
40,Dāvis Bertāns,PF,31,TOT,23,0,209,7.9,18.1,0.436,7.4,16.7,0.444,0.5,1.4,0.333,3.7,4.2,0.889,0.5,3.5,4,3,1.4,1.2,0.5,4.9,27,,136,119,bertada01
40,Dāvis Bertāns,PF,31,OKC,15,0,91,5.3,13.7,0.385,5.3,12.7,0.417,0,1.1,0,7.4,7.9,0.933,1.1,4.2,5.3,4.7,1.6,1.6,0.5,5.3,23.2,,146,114,bertada01
40,Dāvis Bertāns,PF,31,CHO,8,0,118,10,21.6,0.462,9.1,19.9,0.458,0.8,1.7,0.5,0.8,1.2,0.667,0,2.9,2.9,1.7,1.2,0.8,0.4,4.6,29.9,,128,123,bertada01
41,Patrick Beverley,PG,35,TOT,56,5,1069,5.6,13.1,0.426,2,6,0.331,3.6,7.1,0.506,2.5,3.1,0.812,1.8,6,7.8,7.6,1.3,1,2.5,4.4,15.7,,115,117,beverpa01
41,Patrick Beverley,PG,35,PHI,47,5,919,5.5,12.8,0.432,1.9,5.8,0.321,3.7,7,0.523,2.7,3.3,0.81,1.6,6.1,7.7,7.6,1.3,1,2.6,4.4,15.6,,115,117,beverpa01
41,Patrick Beverley,PG,35,MIL,9,0,150,6,15.2,0.396,2.9,7.6,0.375,3.2,7.6,0.417,1.6,1.9,0.833,2.9,5.4,8.3,7.3,1.6,1,1.9,4.1,16.5,,117,116,beverpa01
42,Saddiq Bey,SF,24,ATL,59,47,1921,6.7,15.9,0.422,2.6,8.2,0.321,4.1,7.8,0.527,3.9,4.6,0.843,3.8,5.6,9.4,2.1,1.2,0.2,1.2,2.1,19.9,,122,123,beysa01
43,Goga Bitadze,C,24,ORL,50,32,874,6.5,10.7,0.605,0.1,0.7,0.167,6.4,10,0.635,2.8,4.3,0.649,5.7,9.1,14.8,4.1,1.6,3.9,2,5.7,15.9,,131,107,bitadgo01
44,Onuralp Bitim,SG,24,CHI,4,0,49,5.1,13.2,0.385,4.1,8.1,0.5,1,5.1,0.2,2,2,1,0,10.2,10.2,1,0,0,2,3.1,16.3,,104,119,bitimon01
45,Bismack Biyombo,C,31,TOT,33,27,735,4.5,8.1,0.557,0,0,,4.5,8.1,0.557,1.5,3,0.478,3.9,9,12.9,3.4,0.7,2.3,2.6,5.5,10.5,,108,113,biyombi01
45,Bismack Biyombo,C,31,MEM,30,27,718,4.5,8.1,0.563,0,0,,4.5,8.1,0.563,1.5,3.1,0.478,3.9,9.1,13,3.5,0.7,2.3,2.6,5.6,10.6,,109,113,biyombi01
45,Bismack Biyombo,C,31,OKC,3,0,17,2.8,8.5,0.333,0,0,,2.8,8.5,0.333,0,0,,5.6,5.6,11.3,2.8,0,2.8,2.8,2.8,5.6,,91,116,biyombi01
46,Anthony Black,PG,20,ORL,55,31,1005,4.8,10.2,0.469,1.4,3.7,0.382,3.4,6.5,0.519,2.3,3.5,0.662,1.4,4.7,6.1,4.1,1.5,0.9,2.4,4.9,13.3,,109,114,blackan01
47,Leaky Black,SF,24,CHO,22,3,218,3.8,8.8,0.436,1.6,3.4,0.467,2.2,5.4,0.417,2,3.1,0.643,1.8,6.7,8.5,4,1.1,1.3,1.1,3.4,11.2,,120,120,blackle01
48,Bogdan Bogdanović,SG,31,ATL,58,12,1699,9.6,22.6,0.426,5,13.4,0.371,4.7,9.2,0.506,2.8,3.1,0.919,1,4.4,5.4,4.5,2,0.4,2,3.8,27.1,,116,121,bogdabo01
49,Bojan Bogdanović,PF-SF,34,TOT,36,27,1119,10.3,22.2,0.462,4.5,11,0.406,5.8,11.2,0.517,4.2,5.4,0.784,0.7,4.4,5.1,3.5,1.2,0.2,3.2,3.2,29.2,,111,122,bogdabo02
49,Bojan Bogdanović,PF,34,DET,28,27,921,10.4,22.1,0.468,4.5,10.8,0.415,5.9,11.3,0.518,4.2,5.4,0.779,0.7,4.2,4.9,3.7,1.2,0.2,3.3,3,29.4,,111,123,bogdabo02
49,Bojan Bogdanović,SF,34,NYK,8,0,198,9.8,22.7,0.433,4.5,12.4,0.367,5.3,10.4,0.512,4.3,5.3,0.81,0.8,5.6,6.3,2.8,1.3,0.3,2.8,4.5,28.5,,112,116,bogdabo02
50,Bol Bol,PF,24,PHO,23,0,252,10.2,16.9,0.602,1.5,5.2,0.296,8.7,11.7,0.738,1.3,1.9,0.7,4.2,10.4,14.6,1.9,1,2.9,2.1,5.4,23.3,,125,112,bolbo01
51,Marques Bolden,C,25,TOT,4,0,16,0,3,0,0,0,,0,3,0,0,0,,0,9.1,9.1,0,0,0,3,6.1,0,,0,122,boldema01
51,Marques Bolden,C,25,MIL,2,0,3,0,0,,0,0,,0,0,,0,0,,0,31.7,31.7,0,0,0,0,15.9,0,,,105,boldema01
51,Marques Bolden,C,25,CHO,2,0,13,0,3.8,0,0,0,,0,3.8,0,0,0,,0,3.8,3.8,0,0,0,3.8,3.8,0,,0,126,boldema01
52,Devin Booker,PG,27,PHO,50,50,1788,13,26.4,0.494,3,7.9,0.379,10,18.5,0.543,8.3,9.5,0.88,0.9,5.3,6.2,9.3,1.3,0.5,3.5,4.1,37.4,,124,118,bookede01
53,Brandon Boston Jr.,SF,22,LAC,19,0,129,10.3,24.3,0.422,2.3,7.6,0.3,8,16.7,0.477,4.6,5.3,0.857,2.7,3,5.7,1.9,0.8,0.8,2.7,6.5,27.4,,103,119,bostobr01
54,Chris Boucher,PF,31,TOR,48,0,650,7.5,15.3,0.49,2.2,6.8,0.319,5.4,8.6,0.626,4.8,6.3,0.753,4.2,10,14.1,1.4,1,1.6,1.7,4.8,21.9,,122,116,bouchch01
55,James Bouknight,SG,23,CHO,14,0,81,10.9,24.8,0.439,7.9,18.2,0.433,3,6.7,0.455,0.6,1.2,0.5,0.6,4.8,5.4,3.6,0.6,0.6,1.2,1.8,30.3,,116,123,bouknja01
56,Jamaree Bouyea,PG,24,POR,6,0,57,4.3,18.1,0.238,0,6.9,0,4.3,11.2,0.385,0,0,,1.7,6.9,8.6,6.9,0,0,6.9,2.6,8.6,,55,121,bouyeja01
57,Malaki Branham,PG,20,SAS,56,22,1146,7.8,18.2,0.432,2.4,7.3,0.326,5.4,10.8,0.504,1.5,1.6,0.947,0.8,3.8,4.7,5.1,0.9,0.2,2.6,2.8,19.6,,101,122,branhma01
58,Christian Braun,SG,22,DEN,61,1,1173,6.4,14.7,0.434,1.6,4.8,0.345,4.7,9.9,0.477,3.1,4.4,0.709,2.2,6.9,9.1,3.6,1.2,1.1,1.7,4,17.5,,111,115,braunch01
59,Mikal Bridges,SF,27,BRK,60,60,2104,10.6,23.6,0.447,3.6,10,0.357,7,13.7,0.513,5.1,6.2,0.823,1.2,5.6,6.8,5.1,1.4,0.6,3,2.1,29.8,,112,118,bridgmi01
60,Miles Bridges,SF,25,CHO,50,48,1869,10.7,23.2,0.462,3.2,8.6,0.372,7.5,14.6,0.515,3.4,4,0.848,1.3,8.5,9.8,4.3,1.4,0.7,2.6,2.4,28,,109,119,bridgmi02
61,Oshae Brissett,SF,25,BOS,40,0,427,5.7,12.6,0.455,1.4,4.9,0.279,4.4,7.7,0.567,4.1,6.3,0.655,4.2,8.4,12.6,3.6,1.8,0.5,1.5,4.5,17,,124,111,brissos01
62,Malcolm Brogdon,PG,31,POR,39,25,1121,9.6,21.8,0.44,3.6,8.7,0.412,6,13,0.458,4.2,5.1,0.819,1.2,5.3,6.5,9.4,1.2,0.4,2.6,2.5,26.9,,119,119,brogdma01
63,Armoni Brooks,PG,25,BRK,10,0,104,7.1,21.7,0.326,5.2,15.1,0.344,1.9,6.6,0.286,0.5,0.9,0.5,3.3,5.2,8.5,2.4,0.5,0.5,1.4,1.4,19.9,,98,121,brookar01
64,Dillon Brooks,SF,28,HOU,51,51,1596,7.4,17,0.437,3,7.8,0.386,4.4,9.1,0.48,2.9,3.5,0.835,1.3,4.3,5.6,2.5,1.4,0.2,2,5.4,20.8,,110,115,brookdi01
65,Bruce Brown,SG-PG,27,TOT,52,38,1463,6.9,14.8,0.463,1.4,4.5,0.304,5.5,10.4,0.531,3.1,3.6,0.864,1.4,6.1,7.5,4.6,1.6,0.5,1.9,3.8,18.2,,114,120,brownbr01
65,Bruce Brown,SG,27,IND,33,33,981,7.1,15,0.475,1.6,4.8,0.327,5.5,10.2,0.545,3.2,3.9,0.817,1.2,6.2,7.4,4.8,1.7,0.4,2,3.9,19,,116,120,brownbr01
65,Bruce Brown,PG,27,TOR,19,5,482,6.3,14.4,0.438,0.9,3.7,0.243,5.4,10.7,0.505,2.8,2.8,1,1.8,5.9,7.7,4.2,1.3,0.8,1.8,3.7,16.3,,110,119,brownbr01
66,Charlie Brown Jr.,SG,26,NYK,7,0,36,2.8,13.9,0.2,2.8,9.7,0.286,0,4.2,0,0,0,,1.4,1.4,2.8,0,0,2.8,2.8,6.9,8.3,,60,118,brownch02
67,Greg Brown III,PF,22,DAL,6,0,40,6,13.2,0.455,1.2,3.6,0.333,4.8,9.6,0.5,4.8,10.8,0.444,3.6,7.2,10.8,4.8,0,4.8,4.8,6,17.9,,96,116,browngr01
68,Jaylen Brown,SF,27,BOS,55,55,1826,12.9,25.6,0.502,3,8.5,0.352,9.9,17.1,0.576,4.5,6.2,0.719,1.6,6.5,8.1,5.5,1.6,0.8,3.5,3.9,33.1,,114,112,brownja02
69,Kendall Brown,SG,20,IND,7,0,28,5,10.1,0.5,0,1.7,0,5,8.4,0.6,6.7,10.1,0.667,3.4,0,3.4,3.4,0,0,0,6.7,16.8,,139,128,brownke03
70,Kobe Brown,PF,24,LAC,33,0,285,4.1,10.8,0.381,2.1,6.7,0.308,2.1,4.1,0.5,0.2,0.3,0.5,1.7,6,7.7,2.9,1,0.5,1.2,7.1,10.5,,105,117,brownko01
71,Moses Brown,C,24,POR,11,4,95,6.2,12.4,0.5,0,0,,6.2,12.4,0.5,0.5,3.6,0.143,9.3,15,24.3,1,1,1.6,2.6,6.2,12.9,,103,112,brownmo01
72,Troy Brown Jr.,SF,24,TOT,43,3,493,6.1,14.2,0.427,3.6,9.8,0.364,2.5,4.4,0.568,2.1,2.4,0.875,1.6,7.2,8.8,4.1,0.9,0.2,2.1,3.1,17.8,,115,113,browntr01
72,Troy Brown Jr.,SF,24,MIN,37,3,410,6.2,14.2,0.441,3.7,10.1,0.369,2.5,4.1,0.618,2.3,2.6,0.864,1.7,7,8.7,4.2,1,0.2,2.2,3.1,18.5,,118,111,browntr01
72,Troy Brown Jr.,SF,24,DET,6,0,83,5.2,14.4,0.36,2.9,8.7,0.333,2.3,5.8,0.4,1.2,1.2,1,1.2,8.1,9.2,3.5,0.6,0,1.7,2.9,14.4,,101,122,browntr01
73,Jalen Brunson,PG,27,NYK,57,57,2019,13.6,28.6,0.477,3.7,9.1,0.407,9.9,19.4,0.51,7.5,8.8,0.846,0.8,4.4,5.2,9.3,1.3,0.3,3.5,2.8,38.4,,123,117,brunsja01
74,Thomas Bryant,C,26,MIA,25,3,259,8.4,14.7,0.571,0,0.8,0,8.4,14,0.603,3.4,4.2,0.818,4.8,10,14.7,2.9,1.1,1,2.9,5,20.3,,118,112,bryanth01
75,Kobe Bufkin,SG,20,ATL,9,0,89,6.9,19.7,0.351,2.7,9.1,0.294,4.3,10.7,0.4,1.1,2.1,0.5,1.1,6.4,7.5,8,1.6,0.5,2.7,3.2,17.6,,98,121,bufkiko01
76,Reggie Bullock,SF,32,HOU,25,0,222,4.6,11.3,0.404,3.5,8.9,0.39,1.1,2.4,0.455,0.2,0.2,1,0.7,7,7.6,2.2,0.9,0.4,1.3,3.3,12.9,,109,115,bullore01
77,Alec Burks,SG,32,TOT,52,1,1055,8.5,22.3,0.381,5.1,13.1,0.39,3.4,9.2,0.368,6,6.9,0.88,0.9,4.8,5.8,3.5,1,0.5,1.9,3.2,28.1,,114,122,burksal01
77,Alec Burks,SG,32,DET,43,0,901,8.5,21.6,0.394,5.3,13.1,0.401,3.2,8.5,0.384,6.4,7.1,0.903,0.9,5,5.8,3.6,1.1,0.6,1.7,3.4,28.7,,119,122,burksal01
77,Alec Burks,SG,32,NYK,9,1,154,8.4,26.6,0.317,4.2,13,0.325,4.2,13.6,0.31,3.6,5.2,0.688,1.3,3.9,5.2,2.6,0.3,0.3,2.9,2.3,24.7,,90,120,burksal01
78,Jared Butler,SG,23,WAS,22,0,178,9.1,16.7,0.547,2.6,7.3,0.357,6.5,9.4,0.694,3.7,4.4,0.824,0.5,3.4,3.9,11.2,2.3,0.5,3.9,5,24.5,,123,121,butleja02
79,Jimmy Butler,PF,34,MIA,41,41,1390,10,19.8,0.505,1.5,3.4,0.457,8.5,16.5,0.515,10.3,12.1,0.855,2.9,5.1,8,7,2.1,0.5,2.5,1.6,31.9,,131,114,butleji01
80,Jamal Cain,PF,24,MIA,16,1,225,6.4,15.2,0.42,1.8,5.7,0.308,4.6,9.5,0.488,4,5.1,0.783,2.9,4.2,7.1,0.9,2.2,0.9,1.1,3.7,18.5,,111,113,cainja01
81,Kentavious Caldwell-Pope,SG,30,DEN,55,55,1743,5.5,12.3,0.442,2.4,6.1,0.388,3.1,6.3,0.495,2.6,2.8,0.919,0.7,3,3.7,3.7,2,0.7,1.5,3,15.9,,118,116,caldwke01
82,Toumani Camara,PF,23,POR,58,38,1385,5.5,12.7,0.434,1.6,5,0.321,3.9,7.7,0.507,2.1,2.9,0.723,4,6.1,10.1,2.2,2,0.9,2.4,5.1,14.7,,106,116,camarto01
83,Clint Capela,C,29,ATL,52,52,1315,8.7,15.4,0.564,0,0,,8.7,15.4,0.564,3.4,5.1,0.655,8.8,10.6,19.4,1.8,1,2.9,1.7,4.5,20.7,,129,116,capelca01
84,Jevon Carter,PG,28,CHI,57,0,771,7,18.8,0.371,4,12.1,0.332,3,6.7,0.442,0.2,0.3,0.6,0.5,2.5,2.9,4.3,2,0.8,1.9,3.7,18.2,,98,117,carteje01
85,Wendell Carter Jr.,C,24,ORL,35,29,914,8,14.6,0.544,2.2,5.3,0.418,5.8,9.4,0.615,3.8,5.2,0.722,3.4,9,12.4,3,0.9,1,2.2,4.4,21.9,,126,113,cartewe01
86,D.J. Carton,SG,23,TOR,3,0,23,6.3,12.6,0.5,2.1,6.3,0.333,4.2,6.3,0.667,6.3,6.3,1,2.1,2.1,4.2,6.3,0,0,2.1,6.3,21,,137,125,cartodj01
87,Alex Caruso,SG,29,CHI,51,38,1386,6.3,13.4,0.473,3.2,8.1,0.389,3.2,5.3,0.603,2.1,2.7,0.787,1.7,5.1,6.9,5.1,2.7,2,2.6,4.7,18,,118,113,carusal01
88,Colin Castleton,C,23,LAL,7,0,36,9.3,13.2,0.7,0,0,,9.3,13.2,0.7,5.3,5.3,1,5.3,6.6,11.9,4,0,0,1.3,9.3,23.8,,155,121,castlco01
89,Malcolm Cazalon,SG,22,DET,1,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,128,cazalma01
