Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
62,Malcolm Brogdon,PG,31,POR,39,1121,17,0.56,0.401,0.234,2.7,12.9,7.5,31.1,1.2,0.6,9.9,23,,1.9,0.7,2.6,0.111,,2.6,-0.8,1.9,1.1,brogdma01
63,Armoni Brooks,PG,25,BRK,10,104,8.1,0.448,0.696,0.043,7.1,11.9,9.4,6.7,0.5,0.9,6,20.6,,-0.1,0,0,-0.02,,-2.1,-3.6,-5.7,-0.1,brookar01
64,Dillon Brooks,SF,28,HOU,51,1596,9.9,0.561,0.462,0.205,2.8,9.5,6.1,7.6,1.4,0.4,9.9,18,,0.5,1.7,2.2,0.067,,-3,0.1,-2.9,-0.3,brookdi01
65,Bruce Brown,SG-PG,27,TOT,52,1463,11.5,0.554,0.301,0.24,3.3,14.7,8.9,12.1,1.6,0.9,10.4,16.2,,1,0.9,1.8,0.061,,-2.4,-0.7,-3.1,-0.4,brownbr01
65,Bruce Brown,SG,27,IND,33,981,12.1,0.568,0.322,0.261,2.9,15.2,9,12.4,1.7,0.6,10.5,16.6,,0.8,0.5,1.4,0.067,,-1.8,-0.6,-2.4,-0.1,brownbr01
65,Bruce Brown,PG,27,TOR,19,482,10.2,0.521,0.257,0.194,4,13.7,8.8,11.5,1.3,1.4,10.3,15.4,,0.1,0.3,0.5,0.047,,-3.6,-0.9,-4.5,-0.3,brownbr01
66,Charlie Brown Jr.,SG,26,NYK,7,36,-3.3,0.3,0.7,0,3.1,3.1,3.1,0,0,5.2,16.7,14.3,,-0.1,0,-0.1,-0.127,,-10.5,-3.5,-14,-0.1,brownch02
67,Greg Brown III,PF,22,DAL,6,40,10.4,0.501,0.273,0.818,8.2,16.5,12.3,12.9,0,8.8,21.1,20.2,,0,0,0,-0.009,,-4.8,0.4,-4.4,0,browngr01
68,Jaylen Brown,SF,27,BOS,55,1826,18.3,0.585,0.33,0.242,3.6,13.5,8.8,17.4,1.6,1.4,11,28.2,,2.1,2.6,4.8,0.126,,0.8,0.1,0.8,1.3,brownja02
69,Kendall Brown,SG,20,IND,7,28,10.1,0.579,0.167,1,8.1,0,4.1,8.2,0,0,0,12.9,,0.1,0,0.1,0.106,,-1.9,-2.6,-4.5,0,brownke03
70,Kobe Brown,PF,24,LAC,33,285,5.5,0.477,0.619,0.032,4.1,13.4,8.9,7.4,1,0.9,9.9,10.8,,0,0.2,0.2,0.039,,-4.8,0.1,-4.7,-0.2,brownko01
71,Moses Brown,C,24,POR,11,95,12.9,0.462,0,0.292,20.1,36.9,28,3.1,1,2.9,15.6,14.4,,0,0.1,0.1,0.052,,-4.7,-2.2,-7,-0.1,brownmo01
72,Troy Brown Jr.,SF,24,TOT,43,493,10.8,0.583,0.692,0.168,3.9,15.8,10.1,11.4,0.9,0.4,12,15.5,,0.4,0.7,1,0.1,,-0.8,0.3,-0.5,0.2,browntr01
72,Troy Brown Jr.,SF,24,MIN,37,410,11.6,0.603,0.712,0.186,4.2,15.1,10,11.8,1,0.4,12.4,15.7,,0.4,0.6,1,0.122,,-0.2,0.6,0.4,0.2,browntr01
72,Troy Brown Jr.,SF,24,DET,6,83,6.9,0.483,0.6,0.08,2.6,19.3,10.8,9.5,0.6,0,10.4,14.7,,0,0,0,-0.007,,-3.6,-1.2,-4.8,-0.1,browntr01
73,Jalen Brunson,PG,27,NYK,57,2019,22,0.592,0.32,0.308,1.8,9.9,5.8,31.6,1.3,0.5,9.8,30.8,,5.8,1.8,7.5,0.179,,5.2,-0.5,4.7,3.5,brunsja01
74,Thomas Bryant,C,26,MIA,25,259,15.2,0.611,0.052,0.286,10.8,23,16.8,8.8,1.1,1.9,14.8,17.4,,0.3,0.4,0.7,0.123,,-2.2,-0.4,-2.6,0,bryanth01
75,Kobe Bufkin,SG,20,ATL,9,89,8.8,0.426,0.459,0.108,2.3,15.1,8.5,22.4,1.6,1,11.4,20.2,,-0.1,0,0,-0.026,,-3.5,-0.4,-3.9,0,bufkiko01
76,Reggie Bullock,SF,32,HOU,25,222,7.3,0.563,0.788,0.019,1.4,15.4,8.4,6,0.9,0.8,10.3,11.2,,0,0.2,0.3,0.062,,-2.9,0,-2.9,0,bullore01
77,Alec Burks,SG,32,TOT,52,1055,13.5,0.556,0.588,0.307,2.1,11.5,6.7,10.4,1,1,6.9,23.9,,1,0.4,1.4,0.063,,0.3,-2.2,-1.9,0,burksal01
77,Alec Burks,SG,32,DET,43,901,14.9,0.581,0.608,0.33,1.9,12,6.8,10.9,1.1,1,6.4,23.3,,1.3,0.3,1.6,0.088,,1.3,-1.8,-0.5,0.4,burksal01
77,Alec Burks,SG,32,NYK,9,154,5.1,0.427,0.488,0.195,2.9,8.7,5.8,7.5,0.3,0.6,9.2,27.2,,-0.3,0.1,-0.3,-0.08,,-5.7,-4.8,-10.5,-0.3,burksal01
78,Jared Butler,SG,23,WAS,22,178,17.7,0.658,0.438,0.266,1.2,8,4.5,34.2,2.3,0.9,17.3,20.3,,0.4,0.1,0.4,0.119,,1.1,-0.4,0.6,0.1,butleja02
79,Jimmy Butler,PF,34,MIA,41,1390,23.2,0.635,0.169,0.61,6.6,11.8,9.2,22.5,2.1,1,8.9,24.7,,4.7,1.8,6.5,0.225,,4.8,0.7,5.5,2.6,butleji01
80,Jamal Cain,PF,24,MIA,16,225,11.3,0.531,0.377,0.333,6.5,9.7,8.1,2.5,2.2,1.7,5.9,16.6,,0.1,0.3,0.4,0.083,,-2.8,0.2,-2.6,0,cainja01
81,Kentavious Caldwell-Pope,SG,30,DEN,55,1743,10.4,0.584,0.493,0.228,1.6,6.5,4.1,9.3,2,1.2,9.8,13.2,,1.5,1.8,3.3,0.09,,-2.4,0.5,-1.9,0,caldwke01
82,Toumani Camara,PF,23,POR,58,1385,10.1,0.527,0.392,0.232,8.6,15.1,11.6,6.3,2,1.7,14.9,14.2,,0,1.3,1.3,0.047,,-3.6,0,-3.7,-0.6,camarto01
83,Clint Capela,C,29,ATL,52,1315,20.3,0.587,0,0.333,19.2,25.1,22,5.3,1,5.3,8.9,16.8,,3.1,1.2,4.3,0.157,,0.8,-1.2,-0.5,0.5,capelca01
84,Jevon Carter,PG,28,CHI,57,771,8.1,0.479,0.643,0.017,1,5.6,3.3,12,2,1.8,9.3,18.4,,-0.6,0.7,0,0.003,,-3.6,-0.3,-4,-0.4,carteje01
85,Wendell Carter Jr.,C,24,ORL,35,914,15.8,0.647,0.36,0.357,8,21.4,14.6,9,0.9,1.8,11.5,16.9,,1.7,1.3,2.9,0.153,,0.6,0.1,0.7,0.6,cartewe01
86,D.J. Carton,SG,23,TOR,3,23,13,0.683,0.5,0.5,4.7,4.9,4.8,17.1,0,0,12,15.4,,0.1,0,0.1,0.134,,-1.9,-0.9,-2.7,0,cartodj01
87,Alex Caruso,SG,29,CHI,51,1386,14.2,0.616,0.608,0.202,3.8,11.8,7.7,14.2,2.7,4.2,14.9,15,,1.4,1.9,3.3,0.115,,0,2.3,2.3,1.5,carusal01
88,Colin Castleton,C,23,LAL,7,36,18.6,0.765,0,0.4,12.9,14.8,13.9,11.8,0,0,7.8,15.3,,0.2,0,0.2,0.232,,-0.2,-1.9,-2,0,castlco01
89,Malcolm Cazalon,SG,22,DET,1,3,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.016,,-6,-3.2,-9.2,0,cazalma01
90,Julian Champagnie,SF,22,SAS,53,893,11.1,0.558,0.713,0.205,3.8,12.9,8.3,9.6,1.7,2.7,10.4,14.5,,0.4,0.7,1.1,0.057,,-1.7,-0.3,-2,0,champju02
91,Justin Champagnie,SF,22,WAS,3,16,17.2,0.55,0.5,0,0,6.9,3.3,10.6,2.9,5,9.1,28.8,,0,0,0,-0.031,,0.7,0.4,1.1,0,champju01
